category,zulu_news
business,"Ukukhuphula izinga lokukhuphuka kwezinga lokushintshashintsha akuyona inketho engcono kakhulu yokunqanda ukwehla kwamanani, kungalimaza ukulungiswa, kusho i-FM ""Umsebenzi wamabhange asezindaweni ezisezingeni eliphezulu ukugcina engqondweni ukukhula nokubeka phambili okuqhubekayo, ngisho nokubheka ngokulinganayo ukulawula izinga lokunyuka kwamandla omnotho,"" kusho ungqongqoshe.
"
business,"Idatha yezomnotho yaseChina ikhombisa izimpawu zokuhamba kancane kungenzeka ukuthi kuncishiswe, njengoba izenzo zasebhange eliphakathi ukusekela ukukhula kwezimboni zaseChina zithathe ijubane lazo nokuthengisa okuthengiswayo nakho kuthola umfutho ngo-Agasti, kusho uhulumeni ngoLwesihlanu, okukhombisa ukuthi umnotho ungabuya kancane kancane ekuhlulekeni kwawo ngemuva kobhubhane.
"
business,"IFitch inyusa ukubikezelwa kokukhula kwe-GDP phakathi nenkathi yama-6.2 per cent Ngokusho kweFitch, ukukhula okubikezelwe kwabasebenzi eNdiya nakho kuphansi uma kuqhathaniswa no-2019 ngenxa yokukhula okungekuhle okulindelekile ekukhuleni kwabahlanganyeli.
"
business,"Izimpawu zakuqala zokugcwala ekutshalweni kwezimali kwangasese, isidingo sasekhaya sihlala siphikelela: UMongameli we-CII Isidingo sasekhaya sihlala siphikelela...imikhakha yezentengiso efana nezimoto, izinto zokwakha, izinsimbi nezimayini, uwoyela negesi yenza kangcono kakhulu, eminye imikhakha ibamba ngokuqinile
"
business,"I-G20 iguqula inqubomgomo yokuhweba, ithi i-WTO Lokhu kuza ngemuva kokuthi izimpahla ezithunyelwa eNdiya zibe sengcindezi engxenyeni engcono yonyaka ngenxa yesidingo esibuthakathaka esivela emazweni asentshonalanga.
"
business,"Lesi sikhathi samaholide: Thenga, oda, isipho #DilKholKar Isizini samaholide isiqalile! Jabulela # DilKholKar ngendlela ephephile futhi ushintshele ku- #SafestDigitalAkhawunti nge-Airtel Payments Bank ngakho konke ukuthenga kwakho kwamaholide & izipho!
"
business,"I-Infosys iposa ukwehla kwe-7.3% enzuzo ye-Q3, ihambisa isiqondiso semali Yokutholakala kwe-InSemi kulindeleke ukuthi kuvalwe ngesikhathi sekota lesine le-FY24, ngokuya ngezimo zokuvala ngokwesiko, ukugcwaliswa kusho.
"
business,"Ababolekisi abazimele baseNdiya babamba ibhizinisi ngokushesha ngezindleko zokukhuphuka ukwanda Esikhathini se-intraday, amasheya eNetweb Technologies ashaya ama-Rs 952, ngaphezulu kwamaphesenti angama-90.4 entengo yayo yokukhipha.
"
business,"I-Sensex isula amaphuzu angama-114, Ngezansi kwezingu-19,400 ngaphambi kwedatha yokukhuphuka kwamandla emali; I-Adani Ent, abahlukunyezwa ophezulu be-TaMo Njengamanje kunamakhasimende ayizigidi eziyi-1.3 nabathengisi abayizigidi ezingu-0.3 abasebenzisa i-Rupee yedijithali yokuthengisa.
"
business,"BSE, NSE ukwenza one-hora 'Muhurat Ukuhweba' on Diwali The session simbo yokuhweba izobanjelwa phakathi 6 pm futhi 7.15 pm. Lokhu kuhlanganisa imizuzu engu-15 pre-makethe session, ukuhwebelana kwamasheya wathi ezihlukene.
"
business,"Inzuzo yeShree Cement Q1 ikhuphuka ngama-84% ngesidingo esiqinileyo sasekhaya i Tata Motors ngoLwesibili ibike inzuzo ehlanganisiwe yama-Rs 3,300.65 rupee ngekota yokuqala eyaphela ngoJuni 30, igijimela ekuthuthukisweni okubucayi ekusebenzeni kwengalo yayo yaseBrithani i-Jaguar Land Rover kanye nebhizinisi lezimoto zezentengiso.
"
business,"I-Adani-Total Gas Ltd ukutshala imali ngama-Rs 20,000 cr ngonyaka ka-8-10 eminyakeni yokwandisa igesi yedolobha I-Adani Total Gas Ltd izotshala imali ngama-Rs 18,000 rupee kuma-Rs 20,000 rupee eminyakeni eyi-8 kuya kwe-10 ezayo ukukhulisa ingqalasizinda yokuthengisa i-CNG ezimotweni kanye negesi yokufaka amapayipi emakhaya nasezimbonini, kusho i-CFO yayo.
"
business,"I- Torrent Pharmaceutical ezingxoxweni no-Apollo ukuboleka kuze kufike ku- $ 1 billion ngebhizinisi leCipla: Umbiko Torrent unethemba lokuthola cishe u- $ 3 billion kuya ku- $ 4 billion ngezimali zebhizinisi lomphikisi wayo omkhulu kakhulu, bathi.
"
business,"Izimakethe zivutha kuwo wonke ama-cylinders: I-Sensex, ukuphela kwe-Nifty ekuvalweni okusha Kwezezimali, i-unit yasekhaya ivulwe ku-81.90 ngokumelene nedola futhi yahlala ku-82.02 (okwesikhashana), phansi ngamaphesenti ayi-11 kusukela ekuvalweni kwayo kwangaphambilini.
"
business,"Imali ehlisiwe yezentengiso iphansi izinyanga ezintathu; ukunciphisa amanani entengo yempahla kunciphisa imali yokungenisa Imininingwane esemthethweni ikhombisa ukuthi izimpahla ezithunyelwa kwamanye amazwe zigxume cishe ngamaphesenti ayi-1 kuya ku- $ 388.45 billion ngoDisemba kusuka ku- $ 38.05 billion ngoDisemba kusuka ku- $ 38.55 billion ngonyaka odlule.
"
business,"Izindawo zokugcina i-forex zaseNdiya zigxumela ku-USD 4.03 bn kuye ku-USD 598.89 bn Ngesonto eledlule lokubika, izigodlo eziphelele zaze zehle ngo-USD 30 wezigidi kuya ku-USD 594.858 billion.
"
business,"IVedanta izoqala ukusebenza; izochitha i-aluminium, uwoyela negesi, amandla, insimbi ibe amafemu ahlukene IVedanta, iyunithi yaseNdiya yaseVedanta Resources, njengamanje ilinganiselwa ku-Rs 823.83 billion ($9.92 billion), ilahlekelwe cishe ingxenye yesithathu yenhlokodolobha yayo yemakethe kuze kube manje kulo nyaka.
"
business,"Njengoba izaziso ze-GST zikhula, i-FMCG, imoto, abashayeli bezinkampani ezizimele zomshuwalense ezifana ne-lic, Bajaj Allianz, ICICI Prudential, ICICI Lombard, Star Health kanye ne-Allied Insurance kanye nezinye izinkampani ezinjengeMaruti Suzuki, Akzo Nobel, Sheela Foam baphakathi kwalabo abathole izaziso ze-GST show imbangela ezinyangeni ezimbalwa ezedlule.
"
business,"I-DGCA ishaya u-Rs 1.1 inhlawulo ye-Crona ku-Air India ngokwephula impilo; umphathi akavumelani nemithombo ku-DGCA ikhombisile ukuthi lesi senzo salandela isikhalazo sikadokotela wangaphambili we-Air India owayesebenza njengomlawuli weBoeing 777.
"
business,"I-Govt isusa izicelo ezingaba ngu-110 zokungeniswa kwama-laptops, eminye imikhiqizo ye-IT hardware Izicelo ezingaba ngu-111 zatholwa kuze kube manje zidinga ukugunyazwa kokungeniswa kwemikhiqizo ye-IT, kusho isikhulu sikahulumeni.
"
business,"I-Vedanta ihlanganyela i-5% ekuhwebeni kwasekuqaleni ngemuva kokuthi amabhizinisi athathe indawo yokuhweba ngo-agocetu I-Mining magnate Anil Agarwal ngoLwesihlanu imemezele ukukhubazeka okukhulu kwebhizinisi, amandla, i-aluminium kanye namabhizinisi e-gesi abe izinhlangano ezihlukene ezibalwe.
"
business,"Umzimba we-RBI uphakamisa ukukhathazeka ngokukhuphuka kokubolekwa kwebhange ngama-NBFC Ngemuva kokulungiswa kwemakethe okuhambisane nokuzenzekelayo kwe-IL & FS kanye nokuma isikhashana ngenxa yobhadane lwe-COVID-19, imali ebhange ye-NBFC isiqalile ukukhuphuka futhi, kusho yena.
"
business,"I-Evergrande ivivinya inkinga yaseBeijing njengoba abaqoqi bezikweletu bekhuphuka Njengoba unjiniyela iChina Evergrande Group isuke enye inhlekelele iye kwenye eminyakeni emibili edlule, iBeijing igweme ukungenelela ngqo ukusindisa lokho okungakaze kube kudala kubhekwe njengenye yamabhizinisi ""akukhulu kakhulu ukwehluleka"" ezweni.
"
business,"I-Google emzamweni wokugcina wokuguqula inhlawulo ye- $2.6 billion ye-EU antitrust Alphabet sikaGoogle ngoLwesibili yenza umzamo wokugcina enkantolo ephezulu yaseYurophu ukuguqula i-2.42 billion euro ($2.6 billion) inhlawulo ye-EU antitrust ebekwe ngokuxhashazwa kwemakethe okuhlobene nenkonzo yayo yokuthenga, ithi abalawuli bahlulekile ukukhombisa ukuthi imikhuba yayo iphikisana nokuncintisana.
"
business,"Umgwaqo ka-Adani-Hindenburg: Asikho isizathu sokukhipha i-Sebi, kusho i-SC, ubeka umyalelo Ngenkathi ebuza iSecurities and Exchange Board of India (SEBI) ukuthi ihlose ukwenza esikhathini esizayo ukuqinisekisa ukuthi abatshalizimali abayigoli ngenxa yokushintshashintsha emakethe yamasheya noma ukuthengisa okufishane, inkantolo ephakeme yaphawula ukuthi ngeke kufanelekile ukuthi isungule iqembu elikhethekile lokuphenya (i-SIT) lona ngaphandle kwento ephambi kwayo.
"
business,"IFoxconn unit ukusayina isabelo sezinto ezingama- $ 194 million ngezitshalo kanye neTamil Nadu: Umbiko we-JKC uthe ihlala ""izinikezele ngokuphelele ekuvuselweni kweJet Airways futhi izibophezele ekusebenziseni isu elibanzi lokuqinisekisa impumelelo yenkampani yezindiza.""
"
business,"I-CEO ye-BP idinga ukutshalwa kwezimali kumaphrojekthi kawoyela negesi, ukuguqulwa kwamandla ngokuhleleka Isikhulu Esiphezulu se- BP sika-Isikhulu Esiphezulu uBernard Looney sika yayihambisana nalawo mnotho osafufusa olufuna amandla njengeNdiya esheshisa ushintsho lwamandla ahlanzekile kepha usaxhomeke kakhulu kuphethiloli ongatshalwa phansi
"
business,"Intengo yegesi yeReliance izoncishiswa ngo-14% ngenyanga ezayo Esikhathini sezinyanga eziyisithupha ukusuka nge-Deepsea ne-High-Pressure, izindawo eziphakeme zokushisa (HPTP) kungenzeka ukuthi zinqunywe zibe cishe i-$ 10.4 ngeyunithi yezithombe ephezulu yaseBrithani kusuka ku-$ 11.2 njengamanje, kubika i-PTI ecaphuna imithombo.
"
business,"Izimakethe zesitoko zikhule ngosuku lwe-2nd ngokuthenga kumasheya we-IT Phakathi kwezinkampani zeSensex, i-Wipro yeqe ngaphezulu kwamaphesenti ayi-6, iningi lazo phakathi kwezinkampani eziphambili. IHCL Technologies, Tata Motors, Maruti, Tata Steel, Infosys, Tech Mahindra, Larsen & Toubro kanye ne-JSW Steel babengezinye izinkampani ezinkulu ezawina.
"
business,"Njengoba Bitcoin ETFs ukuqala ukuhweba e-US, IB's Das ithi izimakethe ezisandayo abakwazi ukukhokhela 'crypto-mania' Isikhulu se-RBI sithi ngoba ezivelayo emakethe kanye nemnotho eziphambili, ukuhamba phansi kulowo mgwaqo cryptocurrencies kuzodala izingozi ezinkulu.
"
business,"I-IDFC izohlangana ne-IDFC First Bank uPriya uthe kunamabhizinisi ambalwa asebenzise kabi inqubo yokubhalisa kanti manje i-CBIC isebenza ukuqinisa inqubo yokubhalisa futhi isebenzise ubuchwepheshe bolwazi ukubamba izigebengu.
"
business,"Amazwe athola isitatimende sesibili sentela ngoDisemba Isitatimende siphinde sifake isitatimende esivamile sokukhishwa kwentela yanyanga zonke sama-Rs 72,961.21 enziwe ngaphambili ngoDisemba 11 futhi futhi ngaphezu kwesitatimende sokwehlukaniswa kwentela ngenxa yezifundazwe ngoJanuwari 10, 2024.
"
business,"""Awunawo umthelela omkhulu ku-fisc kusukela ekwandisweni kweminyaka emihlanu kokuxhaswa kwembewu yokudla, ukukhuphuka kokungcola okukhulu kukhathazeka"" Inselele enkulu ebonwa nguhulumeni ukukhuphula amanani entengo kaphethiloli omhlaba wonke, kepha isikhungo siyaqiniseka ukuthi sihlangabezana nomgomo waso wokusweleka kwezezimali ngo-5,9 per cent we-GDP wangonyaka wezimali wezi-202023-24, kusho esinye isikhulu sikahulumeni.
"
business,"Amakhasimende bolekisa ekhaya 'ama-EMI aqhuma ngo-20%, ukukhuphuka okuqinile kwenxenye yenzalo Inzalo ephelele ekhokhwayo isikhathi esiyiminyaka engama-20 manje idlula inani elikhulu
"
business,"Ubungozi bokubolekwa kwezimali okudayiswayo kwamabhange aseNdiya okungavikelekile kuyakhula, kusho i-UBS Ezinyangeni ezedlule, ababolekisi emnothweni wesithathu ngobukhulu e-Asia bakhuphule amaphothifoliyo abo okubolekwa okungavikelekile njengoba ingcindezi ebangela ubhadane ezezimali zasendlini inciphile.
"
business,"URupee uhambisa amaphuzu ama-2 ku-83.25 ngokumelene nedola laseMelika ekuhwebeni kwasekuqaleni Inkomba yedolobha, ekala amandla we-greenback ngokumelene nebhasikidi yezimali eziyisithupha, yayisithule ku-104.35.
"
business,"Ukushintshaniswa kwaamanothi kuya kwi-US Treasury yezivuno, ukuthi uHulumeni we-RBI uthe ""Iqoqo lamanothi angama-Rs 2,000 selibuyile ngakho-ke selihlangabezane kakhulu nezinhloso zethu zokuqala zokuhoxa amanothi angama-Rs 2000,"" kusho uHulumeni we-RBI uShaktikanta Das.
"
business,"Imakethe yamasheya namuhla: ISensex, i-Nifty ikhuphuka ngemuva kokuwa izinsuku ezintathu zilandelana ISensex iqede isikhathi sokuhweba saleli sonto kuma-96.37, noma i-0.70 per cent ephakeme ku-71,683.23 kanti i-Nifty ithole amaphuzu ayi-160.15, noma u-0.75 per cent ku-21,622.40.
"
business,"Amasheya we NTPC ukhuphuke 3%; hit ezingeni eliphezulu lama-52 ngemva kokuthola i-Q1 imali Foxconn Industrial Internet (FII), uhlela ukutshala $ 194.45 million ukwakha campus e Kancheepuram District, eduze Chennai.
"
business,"Amehlo kaMaruti Suzuki ajikijelwe njengoba ibukeka inamandla amabili eminyakeni eyi-9 Ukuba nama-EV ayi-6 phakathi kwamamodeli angama-28 ngo-FY31, kusho uSihlalo uR C Bhargava
"
business,"Sikulungele kahle ushintsho ezimotweni zikagesi: USunjay Kapur Engxoxweni ne-Indian Express, uKapur wakhuluma ngokubaluleka kocwaningo nentuthuko (i-R & D), ububanzi bezinqubo zezimboni ezizenzakalelayo, kanye necebo leChina-plus-one.
"
business,"Uhulumeni ukukhipha i-onion yesigodi emakethe evulekile ngokushesha ukugcina amanani ehlisiwe Uhulumeni uhlola izinketho eziningi zokulahlwa kuka-anyanisi: i-e-auction, i-e-commerce kanye nangamazwe ngamanani entengo encishisiwe ngezitolo zokuthengisa zezinhlangano zabo zabathengi nezinkampani, kusho i-gov.
"
business,"UdayKotak uthi India esishintshashintshayo kusukela isizwe sabantu abaqaphile kuya abatshalizimali, kodwa uxwayisa ngama-bubbles umsunguli weqembu le-Kotak Mahindra unomkhakha wezimali oqondile waseNdiya: ukukhula konyaka okungu-9%, i-GDP engu-30 trillion ngonyaka ka-2047
"
business,"Ukuwa kwama-tomato amanani anciphisa izindleko ze-thalis ngoSepthemba Ngenkathi izindleko ze-thali yezitshalo-zinambuzane zazingu-Rs 27.9 ngoSepthemba ngokuqhathaniswa nama-Rs 33.8 ngo-Agasti, i-thali engewona ama-vegetarian yehle ngama-Rs 61.4 kusuka kuma-Rs 67.3 ngesikhathi esifanayo.
"
business,"Izikali zeSensex ziphezulu kakhulu ezingama-67,571.9; Ama-Nifty avale eduze kwamaphawu we-20,000 XNUMX XNUMX XNUMX XNUMX abaninimasheya be-FIL abafanelekela amasheya eJFSL ngesilinganiso esingu-1: 1
"
business,"Intengo ye-ATF iqhakaze ngonyaka omkhulu kakhulu we-14%; amazinga wezimoto zikagesi athengiswayo asika intengo ye-Aviation turbine fuel (ATF) inyuke ngama-Rs 13,911.07 ngekilolitre, noma amaphesenti ayi-14.1, enhlokodolobha kazwelonke kuye ngama-Rs 1,114,419.33 nge-kl, ngokusho kwesaziso sentengo sabathengisi bamafutha abaphethe umbuso.
"
business,"Iphrojekthi yethusi ye-Adani Group $ 1.1 bn yokuqala ukusebenza kusuka ngoMashi 2024 Ukuwa kwamasheya kaReliance, okuqine kakhulu emavikini amabili, kuholela ekulahlekelweni enkombeni ye-Nifty 50. Inkampani eholwa nguMukesh Ambani iyisitokwe esikhulu kunazo zonke enkombeni enesisindo esingu-10.21%.
"
business,"I-CEA Nageswaran iyanqaba ukugxekwa 'kokungafani kwesibalo' ezinombolweni zokukhula ze-Q1 ""Ku-Q1 ka-2023-24, ukungafani kwamaphesenti angu-2.8 kunophawu oluthe xaxa. Lokhu kukhombisa ukuthi uhlangothi lokusetshenziswa kwemali lichaze kuphela u-97.2 per cent ohlangothini lwemali engenayo,"" kusho u-V Anantha Nageswaran esihlokweni esiphakamise i-op-ed.
"
business,"Ayikho isimemezelo 'esingamanga' kwisabelomali sangaphandle sikaFebhuwari, kusho uNgqongqoshe Wezezimali Ukhetho lukalok Sabha kulindeleke ukuthi lubanjwe emhlabeni ka-Ephreli-Meyi 2024, ngemuva kwalokho uhulumeni uzokwethula isabelomali esiphelele ngoJulayi 2024.
"
business,"Umnotho okhula ngokushesha emhlabeni namuhla: FM Nirmala Sitharaman ngesikhathi mpikiswano No-Confidence Motion Sitharaman wathi, ""Ngo-2013, Morgan Stanley way efakwe India ohlwini lwezomnotho ezinhlanu ezibucayi emhlabeni. India kwathiwa umnotho obucayi. Namuhla, Morgan Stanley efanayo ithuthukise India futhi wanikeza isilinganiso esiphakeme.""
"
business,"Inzuzo kaDkt Reddy's Q2 ikhuphuka ngama-33% yaya kuma-Rs 1,482 crore UDkt Reddy's Laboratories ngoLwesihlanu ibike ukwanda kwama-33.02 per cent enzuzo ehlanganisiwe ngemuva kwentela kuma-Rs 1,482.2 crore kwikota yesibili eyaphela ngoSepthemba 30, eholwa yimakethe yama-generics ase-US.
"
business,"Ikomidi Elisha Elimazayo Kuzibalo libamba ukuhlangana kwalo kokuqala Izingxoxo ze-FTA ye-India-UK kungenzeka ziphothulwe ngaphambi kokuphela konyaka.
"
business,"I-IR Dai ihlela ikomidi ukudala ipulatifomu yeBima Sugam, ukuqoka umxhumanisi wephrojekthi Ipulatifomu izokwenza ukuthi ukufinyelela okulula ngaphansi kophahla olulodwa lwezinkampani zomshuwalense, abenzeli, abathengisi, amabhange ngisho nabahlanganyeli.
"
business,"Isinqumo ubambe, ukusetshenziswa credit card phesheya hhayi ukuheha TCS Njengamanje, phesheya kwezilwandle tour iphakethe kanye LRS ukusetshenziswa edonsa 5 per cent TCS futhi akukho mkhawulo.
"
business,"IReserve Bank icela ababolekisi abaningi ukuthi banikeze irekhodi ledijithali: umbiko Ukutshalwa kwezimali kuzogxila ekwandiseni i-AI, idatha enkulu, kanye nezixazululo zokuhlaziya, kanye nokwakha ucwaningo olusha nentuthuko kanye namapulatifomu, kusho iWipro ekugcwaliseni ukushintshana.
"
business,"ICICI Lombard ithola ama-Rs 1,728 cr i-VAT edinga isaziso Isaziso sibhekisa ezindabeni eziphathelene nezinkinga zomkhakha wonke, inkampani ithe, yengeza ngokuthi izofaka impendulo efanelekile ngaphakathi kwemigomo ebekiwe.
"
business,"Izinkampani zasekhaya zaphakamisa ama-Rs 9.8 lakh cr kusuka kuma-mkts ngo-FY23: I-Sebi Yezinto eziphelele eziqoqiwe, ukulingana kanye nezikweletu zingxenye zabalelwa kuma-Rs 9.2 lakh crore wokwakhiwa kwemali enkulu, iSebi ithe kubikwa kwayo kwaminyaka yonke ngo-202022-23, ekhishwe ngoMsombuluko.
"
business,"I-India ifuna izindlela ezilula zama-visa kubahwebi, abatshalizimali ""UNgqongqoshe uGoyal uqokomise izinselelo ezibhekene nezivakashi zebhizinisi ezivela eNdiya ngenxa yezikhathi zokucubungula ama-visa futhi wacela i-US ukuthi ihambise ukucubungula,"" kusho isitatimende esihlangene.
"
business,"IMahindra & Mahindra ikhipha isondo elisha lokuvuna ngaphansi kwe-brand ye-Swaraj Mahindra & Mahindra Ltd (M & M Ltd) ngoLwesithathu ikhipha isondo elisha lokuvuna ngaphansi kwegama le-Swaraj emakethe yasekhaya njengoba kubukeka kuthinta ngolaka imakethe yemishini yamapulazi ezweni.
"
business,"Umnotho waseBrithani ukhule ngokungalindelekile ngo-0.2% ngekota yesibili ikakhulu ngenxa yokukhuphuka kwesimo sezulu sikaJuni IHhovisi Lezibalo Zikazwelonke lithi umnotho wanda ngo-0.2% ngo-Ephreli kuya kuJuni, uma kuqhathaniswa nesikhathi sezinyanga ezintathu.
"
business,"Amaqembu egceke lokudlala aku-inthanethi asayine ikhodi yokuziphatha ngokuzithandela Ngo-Ephreli, uMnyango Wezobuchwepheshe ne-IT (meitY) wayenemithetho eyazisa ngokuzithandela yokudlala ku-inthanethi evumela ukumiswa kwemizimba ezizimele ukuze kuvunyelwe ukusebenza kwemidlalo eku-inthanethi, ngokubheka uhulumeni, phakathi kokunye ukuhlinzekwa.
"
business,"U Burger King uthi utamatisi 'eholidini' njengoba India elwa ukwehla kwamandla ekudla ""Ngisho utamatisi udinga iholide... asikwazi ukwengeza utamatisi ekudleni kwethu,"" funda izaziso ezibhalwe eziteshini ezimbili Burger King India. iketango uveze izingqinamba izinga ekuchazeni ukushoda.
"
business,"I-KIA India izokweba iSeltos, amanani entengo afika ku-2% kusuka ngo-Okthoba I-KIA India ngeke ikhuphuke amanani wemodeli yayo yokungena imodeli Sonet.
"
business,"Ibhange lomhlaba wonke u-Ashok Vaswani uzoba yinhloko yeKotak Mahindra Bank Vaswani unerekhodi elifakazelwe elithatha amashumi amathathu nesigamu eminyaka, ekuqaleni kwaseCitigroup futhi kamuva nje, eBarclays, yokwakha nokukhula kwamabhizinisi omhlaba esikalini.
"
business,"URupee uwela i-1 paisa ku-83.38 ngokumelene nedola lasekhaya ekuhwebeni kwasekhaya, i-30-share BSESensex yayihweba ngamaphuzu angama-2084 noma i-0.03 per cent ephansi kumaphuzu angama-69,530.19.
"
business,"Ukuthinta inhlokodolobha yomhlaba wonke, amafemu amaNdiya angabhala ngqo ekushintshanisweni kwe-IFSC: FM Phakathi nosuku lwangaphakathi, imali yasekhaya yathinta intaba ephakeme engu-82.19 futhi yashaya izinga eliphansi kakhulu elingu-82.34.
"
business,"I-Amazon Great Indian Festival Sale ibona ukuvulwa okukhulu kunakho konke owake, ukuvakashelwa kwamakhasimende ngerekhodi elingu-9.5 crore ekuqaleni kwamahora angama-48 hrs i-Amazon India ithe ukuthenga ngamalungu e-Prime kukhuphuke izikhathi eziyi-18 emahoreni angama-24 okuqala we-PEA (vs isilinganiso sokuthenga nsuku zonke), obekuphakeme kakhulu kuze kube manje.
"
business,"Ku-Instagram Post, uRatan Tata ufaka ingxoxo engamanga encoma ukutshalwa kwezimali Kuvidiyo engamanga, uTata ukhuluma noSona Agrawal njengomphathi wakhe.
"
business,"U-Adani uphakamisa ama-Rs 1,250 ngokuthengiswa kwamabondi okuqala kusukela umbiko weHindenburg we-Wipro CEO kanye noMqondisi Wokulawula uThierry Delaporte uphawule ukuthi imiphumela yekota yokuqala yenkampani yafika nomgogodla oqinile wokubhuka okukhulu, ukwengezwa kwamakhasimende aqinile kanye nemikhawulo eqinileyo.
"
business,"Ngemuva kwe-IndiGo, i-Akasa Air imemezela uhlelo lokuqala izindiza kusuka eNoida International Airport NgoNovemba, isithuthi esikhulu kunazo zonke sezwe i-IndiGo besifake imemorandamu yokuqonda (MoU) ne-NIO, yaba isithuthi sezindiza sokusungula.
"
business,"Abakhokhi bentela abasha, ukudalulwa, usizo lobuchwepheshe ukusunduza ngqo intela yokuphakanyiswa: USihlalo we-CBDT Amaqoqo entela eqondile akhule ngamaphesenti ayi-17.95 kuye kuma-Rs 11.07 lakh kuze kube manje le yentela ngo-Ephreli 1-Okthoba 9, ngenkathi inetha ngqo intela yokuphakanyiswa, okuyizinto ezifaka ukubuyiselwa, khuphuke ngamaphesenti angama-221.82 ngonyaka kuya ku-Rs 0.57 lakh crore.
"
business,"Inqubomgomo ye-RBI namuhla, ochwepheshe balindele ukuthi i-MPC igcine amazinga engashintshiwe: Bonke abadinga ukwazi Ochwepheshe balindele ukuthi ikomidi lenqubomgomo yemali ye-RBI lizogcina inani layo eliyinhloko lenqubomgomo - izinga le- repo - lingashintshiwe kubhidi lokuqukethe ukwehla kwamandla emali.
"
